name,address,website,source_url,extracted_date
Butler Library | Columbia University,"Columbia University, Rare Book & Manuscript Library Butler Library, 6th Floor, 535 West 114th Street",http://library.columbia.edu/libraries/rbml.html,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
C+C Photography Gallery,"3 West 57th Street, 4th Floor",http://candcgallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Canal Projects,351 Canal Street,http://canalprojects.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Carracci Art,"368 Broadway, Suite #305",http://carracciart.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
carriage trade,"277 Grand Street, 2nd Fl.",http://carriagetrade.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Casey Kaplan,121 West 27th Street,http://caseykaplangallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Castelli Gallery | Midtown,"24 West 40th Street, 2nd Floor",http://castelligallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Castelli Gallery | Uptown,"18 East 77th St, 3rd Floor",http://castelligallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
"Cecilia de Torres, Ltd.",134-140 Greene Street,http://ceciliadetorres.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Center for Book Arts,"28 West 27th Street, 3rd Floor",http://centerforbookarts.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Ceres Gallery,"547 West 27th Street, Suite #201",http://ceresgallery.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Ceysson & Bénétière | New York,956 Madison Avenue,http://ceyssonbenetiere.com/en,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Chambers Fine Art,55 East 11th Street,http://chambersfineart.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
CHARMOLI CIARMOLI,"32 E Broadway 6fl, elevator access",http://charmoliciarmoli.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Chase Contemporary,413-415 West Broadway,http://chasecontemporary.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
ChaShaMa 1 Brooklyn Bridge Park,1 Brooklyn Bridge Park,http://chashama.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
ChaShaMa 266 Window Space,266 West 37th Street,http://chashama.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Chelsea Walls,231 Tenth Avenue,http://chelseawalls.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Cherkovski,86 South 8th Street,http://cherkovski.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Chinatown Soup,16B Orchard Street,http://chinatownsoup.nyc,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Chorus Projects,59 Jefferson Street,http://chorusprojects.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Chozick Family Art Gallery,"370 Broadway, 2nd Floor",http://chozickfamilyartgallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Cierah,"110 Suffolk St, Apt #1A",http://cierah.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Cindy Rucker Gallery,143B Orchard Street,http://cindyruckergallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Citygroup,104B Forsyth Street,http://citygroup.nyc,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
CLEARSKY | New York,925 Bergen Street,http://clearsky.art,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
COLNAGHI | New York,"23 East 67th Street, 4th Floor",http://colnaghi.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
COMPANY Gallery,145 Elizabeth Street,http://companygallery.us,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Contact Photo,51 Porter Avenue,http://contactphoto.org/exhibitions,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Court Tree Collective,"51 35th Street, BLD #5, 2nd Floor",http://courttree.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Creative Time,Multiple Locations,http://creativetime.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Crossing Art,559 West 23rd Street,http://crossingart.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
CSB Fine Arts,"81 Prospect Street, Suite 104",http://csbfinearts.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Cynthia Byrnes Contemporary Art,"508 W 26th Street, #12A PH",http://cynthiabyrnes.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
D Lan Galleries,"25 East 73rd Street, 4th Floor",http://dlangalleries.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
D. D. D. D.,"79 Leonard Street, SBE",http://dddd.pictures,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
DAG | New York,"1 Rockefeller Plaza, 11th Floor",http://dagworld.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Dan Yoshii Gallery | Henry St,54 Henry Street,http://danyoshii.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Dan Yoshii Gallery | Madison Ave,833 Madison Avenue,http://danyoshii.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Danspace Project,"131 East 10th Street, St Mark’s Church",http://danspaceproject.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
